Any;Barcelona;Girona;Lleida;Tarragona
2023;5797356;808672;447343;848592
2022;5699602;790432;440883;830906
2021;5702262;784941;439258;823435
2020;5702583;777339;437263;815589
2019;5628011;765775;432643;803471
2018;5572766;756137;429832;794997
2017;5534486;750206;429606;790490
2016;5490505;745642;429634;789909
2015;5465053;743562;430991;791064
2014;5463459;746451;432146;796013
2013;5492810;749954;436116;802294
2012;5519370;751279;438075;806674
2011;5508232;749509;439134;804978
2010;5481511;744485;435836;800212
2009;5452609;737621;432482;793893
2008;5376590;720204;423577;777942
2007;5294659;695361;411154;745560
2006;5212783;667724;400595;713835
2005;5127227;643599;392247;683619
2004;5041008;616994;380163;655132
2003;4956663;594461;371956;635660
2002;4840919;574342;365620;617285
2001;4736307;556891;358649;601458
2000;4680507;546755;357413;589872
1999;4665645;540468;356606;584998
1998;4654236;535077;356104;579922
1997;4647750;530505;356055;575690
1996;4646727;528716;356176;573110
1995;4652704;524871;355824;567584
1994;4661006;521304;355727;562399
1993;4666893;518050;355298;556658
1992;4667573;514615;354479;550672
1991;4667850;512167;354264;546470
1990;4659591;507677;353417;541588
1989;4650123;501477;352843;537026
1988;4639643;496396;352754;532432
1987;4628423;491222;352247;527428
1986;4613696;488337;352205;523794
1985;4620699;484389;352931;522303
1984;4624385;480321;353344;520376
1983;4626788;476104;353575;518354
1982;4622825;471252;353299;515347
1981;4617650;466581;353153;512445
1970;3929194;414397;347015;431961
1960;2877966;351369;333765;362679
1950;2232119;327321;324062;356811
1940;1931875;322360;297440;339299
1930;1800638;325551;314435;350668
1920;1349282;325619;314670;355148
1910;1141733;319679;284971;338485
1900;1054541;299287;274590;337964
1897;1051636;308864;289330;341473
1887;902970;306583;285417;348579
1877;836887;299702;285339;330105
1860;726267;311158;314531;321886
1857;713734;310970;306994;320593
